Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks,MentionedCards
Acid Rain,Spell,"[Range 4]: Convert a tile to a Toxic Swamp, that adds 1 Poison to characters on it. Destroy the enemy commander's weapon.",None,1,,,,,Grenalia,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,5,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
Acrid Potion,Spell,"[Range 2]: Target minion gains <sprite name=""power_1"">, Fatal, and Lifelink.",Potion,2,,,,,Shadis,0.4.28,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Action Surge,Spell,"A friendly character gains +1 movement, and regains their Attack. Draw a card.",None,2,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,Starter Deploy,
Alchemist,Minion,Arrival: Draw a Potion from your deck.,Human,2,2,3,3,,Neutral,0.1.7,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Ancient Golem,Minion,"Costs <sprite name=""mana_1""> less to play for each card in your hand.",Mech,11,9,3,9,,Neutral,0.4.17,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,,
Angelic Captain,Minion,Flying. Arrival AND at the beginning of your turn: ally minions within Range 4 gain +1 Movement this turn.,Angel,4,4,3,4,,Lucia,0.1.7,AI_GENERATED,Stable Diffusion,True,2,BattleHit;BattleSound,,
Angel's Grace,Spell,"[Range 4]: A character gains +4 movement this turn. If it's a minion, it gains Flying this turn.",None,1,,,,,Lucia,0.1.4,AI_GENERATED,Midjourney,False,0,,,
Apothecary,Minion,"Realmbound. Whenever you play a Potion, draw a card.",Human,3,2,3,3,,Neutral,0.1.4,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Apprentice Mage,Minion,"Spellcaster. [Arrival, Pay <sprite name=""mana_1"">]: Draw a card.",Elf,2,3,3,2,,Archaeon,0.4.38,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Archpaladin Erix,Minion,Legendary. Sentinel. Flying. Arrival: Set the power of ALL minions equal to their health.,Dwarf,6,2,2,7,True,Lucia,0.6.10,AI_GENERATED,ChatGPT Images,True,2,BattleHit;BattleSound,,
Asera,Minion,"Legendary. [<sprite name=""mana_1"">]: Draw a card, deal 2 damage to Asera.",Dragon,10,5,4,13,True,Neutral,0.2.10,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Assistant Chemist,Minion,"Potions in your hand cost <sprite name=""mana_1""> less.",Dwarf,2,3,2,2,,Neutral,0.3.4,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
"Atlas, First to Walk",Minion,"Legendary. Trample. Haste. Atlas gains <sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1""> when a tile is unclaimed. Arrival: Unclaim ALL tiles within Range 2.",Titan,15,10,0,10,True,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
Baby Raptor,Minion,"Has +<sprite name=""power_2""> and +<sprite name=""speed_2""> if you control at least two other Beasts.",Beast,1,1,2,2,,Neutral,0.2.5,COMMISSIONED_PLACEHOLDER,Ramon Gomez,False,0,,Starter Beasts,
Badland Mercenary,Minion,"[Cooldown 2, Range 1]: Deal 1 damage to an ally minion and give it <sprite name=""power_2"">.",Human,1,2,3,1,,Neutral,0.2.1,AI_GENERATED,Midjourney,False,0,,,
Battlefield Savior,Minion,"Sentinel. [Arrival, Range 3]: Heal a character for 5.",Human,3,3,3,3,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,,
Battlefield Webspinner,Minion,"Deploy. [Arrival, Pay <sprite name=""mana_1"">]: Stun an adjacent minion.",Arachnid,3,2,3,4,,Archaeon,0.4.38,AI_GENERATED,DALL-E,False,0,,,
Beast Trainer,Minion,"[Arrival, Range 1]: Deploy two Beasts from your deck that cost 2 or less.",Human,4,2,3,3,,Grenalia,0.4.23,AI_GENERATED,DALL-E,False,0,,,
Big Game Hunter,Minion,"[Arrival, Range 3]: Destroy an enemy minion with Power <sprite name=""power_5""> or more.",Dwarf,4,4,2,2,,Neutral,0.4.14,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Black Dragon,Minion,"Flying. Fatal. [Warmup 3, Range 2]: Destroy a Minion.",Dragon,5,7,4,5,,Shadis,0.4.15,ARTIST_COMMISSIONED,Marc Petrelis,True,2,BattleHit;BattleSound,,
Black Scorpion,Minion,Fatal.  (Destroy any enemy minion this damages.),Arachnid,2,1,3,3,,Neutral,0.4.15,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,Starter Death,
Blessed Force,Spell,"Destroy all minions with Power <sprite name=""power_3""> or less within Range 3.",None,5,,,,,Lucia,0.1.2,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Blinkshot,Minion,"[Cooldown 2, Range 2]: Deal 4 damage. [Cooldown 2, Range 2]: Teleport.",Arachnid,6,4,3,3,,Archaeon,0.4.25,ARTIST_COMMISSIONED,Marc Petrelis,True,5,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;RandomSoundFXAnimation;SandevistanTrailFX;SingleSoundFXAnimation,Starter Mage,
Bloodrush,Spell,Your characters gain 2 Movement. Your commander loses 2 life. Draw a card.,None,1,,,,,Skaal,0.2.1,AI_GENERATED,Midjourney,False,0,,,
Blue Dragon,Minion,"Flying. Spellcaster. [Warmup 3, Range 2]: Deal 2 damage to all characters within 1 Radius and Stun any minions.",Dragon,4,4,4,5,,Archaeon,0.4.15,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Bramble,Minion,Commander-Deploy. Arrival: Add a copy of this to your hand with Ethereal.,Plant,2,3,0,3,,Grenalia,0.4.22,AI_GENERATED,DALL-E,True,1,CardLoopingParticle,,
Brash Outfitter,Minion,"Minions in your hand cost <sprite name=""mana_1""> less. When you play a Minion whose card costs 3 or more, deal 1 damage to it.",Goblin,2,3,2,1,,Skaal,0.3.4,AI_GENERATED,Midjourney,False,0,,,
Burgeon,Spell,Claim an uncontested tile adjacent to your territory. Add a copy of this to your hand with Ethereal.,None,2,,,,,Grenalia,0.4.6,AI_GENERATED,Midjourney,True,1,CardLoopingParticle,,
Call of the Jungle,Spell,"[Range 3]: An ally beast gains <sprite name=""power_2""><sprite name=""speed_2""><sprite name=""health_2""> and gains Trample.",None,3,,,,,Grenalia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,Starter Beasts,
Champion of the Wilds,Minion,"[Cooldown 1]: Claim the current tile, if it's adjacent to your territory. (Can claim enemy tiles)",Beast,5,3,2,7,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,,
Chant of the Old Ones,Spell,"[Range 3]: Add 3 Poison to a character. Your commander heals 3. Draw 3 minions from your deck, they cost 3 less.",None,9,,,,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Tomas Vinco,True,3,LoopingParticle;ParticleDisplayFXAnimation,,
Charge Up,Spell,Your commander permanently gains Spell Damage +2.,Lightning,6,,,,,Skaal,0.4.26,AI_GENERATED,DALL-E,False,0,,,
Charger,Minion,[Warmup 1]: An adjacent ally gains +1 movement and regains their Attack.,Mech,2,2,3,3,,Neutral,0.1.27,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Citadel Lord,Minion,"Arrival: Gain <sprite name=""power_2""> and <sprite name=""health_2""> for each ally minion within Range 4.",Giant,5,3,3,3,,Neutral,0.1.12,AI_GENERATED,Midjourney,False,0,,,
City Planning,Spell,"Draw 2 Village cards from your deck. They cost <sprite name=""mana_1""> less.",None,2,,,,,Lucia,0.6.2,AI_GENERATED,ChatGPT Images,False,0,,,
Cloning Magic,Spell,[Range 2]: Shuffle three copies of target minion into your deck.,Psychic,1,,,,,Archaeon,0.4.28,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Combust,Spell,"An ally minion deals damage equal to its power to adjacent characters, then dies.",Fire,2,,,,,Skaal,0.4.26,AI_GENERATED,DALL-E,False,0,,,
Cone of Cold,Spell,[Range 2]: Deal 2 damage to all characters in 1 Radius and stun any minions.,Frost,5,,,,,Archaeon,0.4.15,ARTIST_COMMISSIONED,Marc Petrelis,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Mage,
Conscription,Spell,Add 3 Lucian Soldiers to your hand. They gain Ethereal.,None,3,,,,,Lucia,0.4.6,AI_GENERATED,Meta AI,True,2,CardLoopingParticle;SingleSoundFXAnimation,,Lucian Soldier
Crimson Flameblade,Spell,"Weapon When you attack a minion, excess damage is dealt to the enemy commander.",None,2,,,,,Skaal,1.2.1,AI_GENERATED,ChatGPT Images,True,2,WeaponHit;WeaponSlash,,
Crippling Tax,Spell,"Destroy a friendly village. Draw 3 cards. Gain <sprite name=""dominion_3""> Dominion.",None,4,,,,,Lucia,0.4.4,AI_GENERATED,DALL-E,False,0,,,
Cursed Deathspear,Spell,"Weapon Lifelink. When your commander loses life, give your weapon +<sprite name=""power_1"">.",None,3,,,,,Shadis,1.2.1,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,2,WeaponHit;WeaponSlash,,
Daemonic Summoning,Spell,"Draw a Daemon from your deck. It costs <sprite name=""mana_3""> less.",None,3,,,,,Shadis,0.4.28,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Daemonprince Grizlocke,Minion,"Legendary. Flying. Trample. [Cooldown 1, Range 1]: Claim ANY unoccupied tile, gain <sprite name=""dominion_1""> Dominion, and summon a Daemon Knight.",Daemon,12,13,3,13,True,Shadis,0.4.38,AI_GENERATED,DALL-E,True,2,BattleHit;BattleSound,,Daemon Knight
"Danrir, Omenhound",Minion,"Legendary. When Danrir attacks and kills an enemy minion, he gains <sprite name=""power_2""> and <sprite name=""health_2"">.",Beast,4,4,4,4,True,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,True,2,BattleHit;BattleSound,Starter Beasts,
Darkroot Ooze,Minion,"When Darkroot Ooze battles, double the enemy's poison.",None,2,1,3,3,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,5,BattleHit;BattleSound;LoopingParticle;ParticleDisplayFXAnimation,,
Darkroot Shiv,Spell,"Weapon When you attack, add 2 Poison to the defender.",None,1,,,,,Grenalia,1.2.1,AI_GENERATED,ChatGPT Images,True,5,LoopingParticle;ParticleDisplayFXAnimation;WeaponHit;WeaponSlash,,
Darkroot Witch,Minion,Spellcaster. Arrival: Add a Poison Sting to your hand.,Elf,2,1,3,2,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,,Poison Sting
Darkwing,Minion,Flying. Commander-Deploy. Arrival: Deal 2 damage to all non-daemon characters.,Daemon,7,7,3,4,,Shadis,0.4.27,AI_GENERATED,DALL-E,True,7,BoardTintFXAnimation;CharacterSpinFXAnimation;CompositeFXAnimation;ParticleDisplayFXAnimation;ProjectileRainFXAnimation;RandomSoundFXAnimation,,
Deathquill,Minion,"[Cooldown 1, Range 2]: Deal 1 damage and add 1 Poison to an enemy.",Beast,4,3,1,5,,Neutral,0.1.14,AI_GENERATED,Midjourney,True,9,LoopingParticle;ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,,
Demilich,Minion,Spellcaster. Arrival AND Postmortem: Draw a card.,Undead,6,5,2,4,,Neutral,0.4.42,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,2,BattleHit;BattleSound,Starter Mage,
Devout Caretaker,Minion,Sentinel. Arrival: add 2 Lucian Soldiers to hand.,Human,4,1,3,5,,Lucia,0.1.21,AI_GENERATED,Midjourney,False,0,,,Lucian Soldier
Diplomatic Envoy,Minion,"Spellcaster. Arrival: Gain <sprite name=""intellect_2""> Intellect. (Intellect is your max hand size.)",Elf,2,2,3,3,,Neutral,0.6.11,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Domination,Spell,Gain control of an enemy minion.,Psychic,9,,,,,Shadis,0.4.21,AI_GENERATED,DALL-E,False,0,,,
Draconic Mage,Minion,Flying. Spellcaster. Spell-Damage +2. Arrival: Draw a spell from your deck and add two extra copies of it to your hand.,Dragon,10,10,4,8,,Neutral,0.6.11,AI_GENERATED,ChatGPT Images,True,2,BattleHit;BattleSound,,
Dragon Egg,Minion,"Postmortem: Summon a <sprite name=""power_4""><sprite name=""speed_4""><sprite name=""health_4""> Dragon with Flying.",Dragon,2,0,0,2,,Neutral,0.4.16,AI_GENERATED,DALL-E,False,0,,,Dragon
Dragon Tamer,Minion,"Realmbound. Dragons in your hand cost <sprite name=""mana_2""> less.",Human,3,3,3,2,,Neutral,0.4.8,AI_GENERATED,Meta AI,False,0,,,
